IDENTIFIER	log2FoldChange	baseMean	lfcSE	stat	pvalue	padj	GO	arabidopsis	rice
bradi1g02290.1|pacid:21822145	1.632508509	2.480491634	0.556684175	2.93255778	0.003361824	0.013783896	"GO:0004672,GO:0005524,GO:0006468"	wall associated kinase 4	"OsWAK129b - OsWAK receptor-like protein kinase, expressed"
bradi1g02690.1|pacid:21817779	1.066540357	14.06029354	0.337368891	3.161347663	0.001570409	0.007317455		Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	"haloacid dehalogenase-like hydrolase family protein, putative, expressed"
bradi1g02710.1|pacid:21820043	-1.181080529	106.7107795	0.21985869	-5.371998395	7.79E-08	1.12E-06	"GO:0008270,GO:0016787"	Cytidine/deoxycytidylate deaminase family protein	"tRNA-specific adenosine deaminase, putative, expressed"
bradi1g02750.1|pacid:21815189	1.092870283	44.90431879	0.19653024	5.560825051	2.69E-08	4.26E-07		Carbohydrate-binding X8 domain superfamily protein	"glucan endo-1,3-beta-glucosidase-related, putative, expressed"
bradi1g02810.1|pacid:21818156	1.84922637	104.4129835	0.404343477	4.573404727	4.80E-06	4.75E-05	"GO:0005524,GO:0016310,GO:0016301"	Mevalonate/galactokinase family protein	"GHMP kinases ATP-binding protein, putative, expressed"
bradi1g03050.1|pacid:21820419	1.415749462	47.74760754	0.315834517	4.48256725	7.38E-06	6.96E-05	"GO:0004806,GO:0006629"	"Mono-/di-acylglycerol lipase, N-terminal;Lipase, class 3"	"lipase class 3 family protein, putative, expressed"
bradi1g03207.1|pacid:21820765	-2.015850394	71.15125517	0.255963024	-7.875553116	3.39E-15	1.51E-13	"GO:0004553,GO:0005975"	Glycosyl hydrolase superfamily protein	"OsMan05 - Endo-Beta-Mannanase, expressed"
bradi1g03260.1|pacid:21823066	1.696702063	15.51582109	0.366678414	4.627221013	3.71E-06	3.77E-05	"GO:0016833,GO:0009058"	anthranilate synthase alpha subunit 1	"anthranilate synthase component I-1, chloroplast precursor, putative, expressed"
bradi1g03390.1|pacid:21816387	-2.301525538	4.111316343	0.5124197	-4.491485278	7.07E-06	6.71E-05		Plant protein of unknown function (DUF641)	"GIL1, putative, expressed"
bradi1g03460.1|pacid:21821074	1.409275425	2.705821817	0.548895699	2.56747398	0.010244248	0.034149799		AtGCP3 interacting protein 1	expressed protein
bradi1g03470.1|pacid:21818914	2.212453269	61.43917389	0.29461216	7.509714713	5.93E-14	2.24E-12		Calmodulin-binding protein	"calmodulin binding protein, putative, expressed"
bradi1g03510.1|pacid:21818007	2.673327236	1591.974315	0.32874047	8.132029614	4.22E-16	2.08E-14	"GO:0004867,GO:0005576"		"BBTI13 - Bowman-Birk type bran trypsin inhibitor precursor, expressed"
bradi1g03690.1|pacid:21815958	-1.644704154	99.46582147	0.132017647	-12.45821442	1.26E-35	3.00E-33	GO:0003824	pol-like 5	"protein phosphatase 2C, putative, expressed"
bradi1g03750.1|pacid:21819987	-1.301453965	1526.638048	0.1028014	-12.65988559	9.86E-37	2.50E-34	"GO:0003779,GO:0005622"	actin depolymerizing factor 4	"actin-depolymerizing factor, putative, expressed"
bradi1g03760.1|pacid:21821650	-5.590551323	1712.80634	0.325301807	-17.18573708	3.40E-66	3.53E-63	"GO:0003779,GO:0005622"	actin depolymerizing factor 3	"actin-depolymerizing factor, putative, expressed"
bradi1g03790.1|pacid:21819744	-5.928694944	62.7274023	0.351776214	-16.85359811	9.87E-64	9.28E-61		C2H2-type zinc finger family protein	"ZOS3-21 - C2H2 zinc finger protein, expressed"
bradi1g03867.1|pacid:21816771	1.429528523	15.21805127	0.295821792	4.832397608	1.35E-06	1.51E-05			"OsFBX443 - F-box domain containing protein, expressed"
bradi1g03910.1|pacid:21818581	-1.335160644	106.8285548	0.335223124	-3.982901378	6.81E-05	0.000491673	"GO:0016491,GO:0008152,GO:0003854,GO:0016616,GO:0006694,GO:0055114,GO:0003824,GO:0050662,GO:0044237,GO:0009058"	NAD(P)-binding Rossmann-fold superfamily protein	"cinnamoyl CoA reductase, putative, expressed"
bradi1g03940.1|pacid:21819546	-1.778185549	63.46679679	0.40871811	-4.350640464	1.36E-05	0.000119078		TRICHOME BIREFRINGENCE-LIKE 33	"leaf senescence related protein, putative, expressed"
bradi1g03980.1|pacid:21819065	1.623837689	62.5786544	0.191649011	8.472977132	2.39E-17	1.36E-15		aromatic and neutral transporter 1	"ANT1, putative, expressed"
bradi1g04010.1|pacid:21816393	-1.555921797	7.796266682	0.406979669	-3.823094659	0.000131787	0.000877603		Protein of unknown function (DUF567)	"DUF567 domain containing protein, putative, expressed"
bradi1g04140.1|pacid:21819221	-1.139908156	582.4521059	0.224314961	-5.08173041	3.74E-07	4.70E-06	"GO:0004489,GO:0006555,GO:0055114"	methylenetetrahydrofolate reductase 2	"methylenetetrahydrofolate reductase, putative, expressed"
bradi1g04150.1|pacid:21820881	-3.051630292	2152.758172	0.196210612	-15.55282998	1.52E-54	1.04E-51	"GO:0003677,GO:0006355"	NAC domain containing protein 102	"NAC domain-containing protein 67, putative, expressed"
bradi1g04200.1|pacid:21818783	-1.454795464	2.837110973	0.555635952	-2.61825294	0.008838127	0.030243922	GO:0016021	tetraspanin3	"tetraspanin family protein, putative, expressed"
bradi1g04620.1|pacid:21815932	-1.024861816	1023.351093	0.352530237	-2.907160035	0.003647266	0.014709793		Chaperonin-like RbcX protein	expressed protein
bradi1g04710.2|pacid:21822188	1.103364252	152.2210433	0.164711234	6.698779574	2.10E-11	5.60E-10		Protein of unknown function (DUF1639)	expressed protein
bradi1g04720.1|pacid:21822620	1.086635025	15.64084921	0.336935582	3.225052746	0.001259495	0.006088637		Protein of Unknown Function (DUF239)	"carboxyl-terminal peptidase, putative, expressed"
bradi1g04760.1|pacid:21818991	1.460588503	8.925156756	0.432558548	3.376626143	0.000733807	0.003840861		Plant protein of unknown function (DUF868)	expressed protein
bradi1g04780.1|pacid:21820007	-1.482243539	86.32630481	0.297591512	-4.98079912	6.33E-07	7.61E-06			expressed protein
bradi1g04790.1|pacid:21819144	-1.14358172	172.4984274	0.30722078	-3.722344958	0.000197381	0.00124709	GO:0045454	APR-like 5	"OsAPRL5  adenosine 5\'-phosphosulfate reductase-like OsAPRL5, expressed"
bradi1g04907.1|pacid:21817346	-2.312422964	7.96467623	0.460620629	-5.020233181	5.16E-07	6.31E-06	GO:0045735	germin-like protein subfamily 2 member 2 precursor	"Cupin domain containing protein, expressed"
bradi1g04990.1|pacid:21822366	-1.718859645	18.77806226	0.312508854	-5.50019502	3.79E-08	5.85E-07	"GO:0005529,GO:0008378,GO:0006486,GO:0016020"	Galactosyltransferase family protein	"galactosyltransferase family protein, putative, expressed"
bradi1g05037.1|pacid:21819113	-1.329380082	7.215675595	0.450660556	-2.949847872	0.003179304	0.013169256	"GO:0030528,GO:0006355"	BIG PETAL P	"BEE 1, putative, expressed"
bradi1g05100.2|pacid:21818955	-3.187537389	64.46665609	0.24745326	-12.88137155	5.73E-38	1.53E-35		Protein of unknown function (DUF569)	expressed protein
bradi1g05330.1|pacid:21821111	-1.21306681	95.73298242	0.354516569	-3.421749268	0.000622197	0.003338113	"GO:0003677,GO:0006334,GO:0000786,GO:0005634"	winged-helix DNA-binding transcription factor family protein	"AT hook-containing DNA-binding protein, putative, expressed"
bradi1g05450.1|pacid:21823653	-1.570003597	131.551726	0.332702327	-4.718943839	2.37E-06	2.52E-05	"GO:0004834,GO:0006568"	Aldolase-type TIM barrel family protein	"indole-3-glycerol phosphate lyase, chloroplast precursor, putative, expressed"
bradi1g05460.1|pacid:21823119	-2.022367151	2.501849625	0.561604923	-3.601049542	0.000316935	0.001874076	"GO:0004834,GO:0006568"	Aldolase-type TIM barrel family protein	"indole-3-glycerol phosphate lyase, chloroplast precursor, putative, expressed"
bradi1g05480.1|pacid:21823397	3.995446004	658.1239504	0.229661041	17.39714311	8.67E-68	1.01E-64	"GO:0003700,GO:0043565,GO:0046983,GO:0006355"	bZIP transcription factor family protein	"bZIP transcription factor domain containing protein, expressed"
bradi1g05620.1|pacid:21819967	1.211671458	61.67571487	0.366707031	3.304194779	0.000952496	0.004813682			expressed protein
bradi1g05740.1|pacid:21823039	-1.294667112	39.5449993	0.237676843	-5.447173969	5.12E-08	7.65E-07	"GO:0016168,GO:0009767,GO:0019684,GO:0009521,GO:0016020"	photosystem II reaction center protein B	"photosystem II P680 chlorophyll A apoprotein, putative, expressed"
bradi1g05806.1|pacid:21816173	-1.275681232	305.1106192	0.100794386	-12.65627265	1.03E-36	2.58E-34	"GO:0045156,GO:0009772,GO:0019684,GO:0030077"	photosystem II reaction center protein A	"photosynthetic reaction center protein, putative, expressed"
bradi1g05810.1|pacid:21820496	1.157753349	37.62185316	0.226882364	5.102879429	3.35E-07	4.27E-06	GO:0005515	F-box family protein	"OsFBX172 - F-box domain containing protein, expressed"
bradi1g05880.1|pacid:21815369	1.485178624	1.557212913	0.591007534	2.512960562	0.011972272	0.038587312	"GO:0010181,GO:0016491,GO:0055114"	12-oxophytodienoate reductase 1	"12-oxophytodienoate reductase, putative, expressed"
bradi1g05910.1|pacid:21819810	-1.437332154	0.764803738	0.565697884	-2.540812321	0.011059527	0.036255263	GO:0045735	cupin family protein	"cupin domain containing protein, expressed"
bradi1g05920.1|pacid:21815631	-1.684641377	8.251349905	0.565024501	-2.981536858	0.002868055	0.012091184		CVP2 like 1	"type I inositol-1,4,5-trisphosphate 5-phosphatase, putative, expressed"
bradi1g05960.1|pacid:21822574	1.62631096	0.991245072	0.588392713	2.763988953	0.005709947	0.021176802	GO:0005515	F-box/RNI-like superfamily protein	"OsFBX172 - F-box domain containing protein, expressed"
bradi1g06030.1|pacid:21823715	-1.408566436	175.8633947	0.370223603	-3.804637048	0.000142012	0.000935594	"GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114"	"cytochrome P450, family 72, subfamily A, polypeptide 14"	"cytochrome P450 72A1, putative, expressed"
bradi1g06050.1|pacid:21815574	-2.816613511	243.7465376	0.213337096	-13.20264295	8.47E-40	2.53E-37	"GO:0004553,GO:0005975"	O-Glycosyl hydrolases family 17 protein	"glucan endo-1,3-beta-glucosidase precursor, putative, expressed"
bradi1g06190.1|pacid:21816835	-1.650907196	30.57320604	0.450241867	-3.666711865	0.000245689	0.001506966	"GO:0008270,GO:0003677"	A20/AN1-like zinc finger family protein	"zinc finger A20 and AN1 domain-containing stress-associated protein, putative, expressed"
bradi1g06280.1|pacid:21817459	-1.314146645	24.61713307	0.298386115	-4.404181626	1.06E-05	9.62E-05	"GO:0004672,GO:0005524,GO:0006468,GO:0048544,GO:0005529"	S-locus lectin protein kinase family protein	"protein kinase, putative, expressed"
bradi1g06300.1|pacid:21823566	-1.932269602	115.6040528	0.22206547	-8.701351022	3.28E-18	2.14E-16	"GO:0004672,GO:0005524,GO:0006468"	calmodulin-domain protein kinase cdpk isoform 2	"CAMK_CAMK_like.2 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
bradi1g06340.1|pacid:21823416	-1.767909048	1311.958203	0.372394057	-4.747414779	2.06E-06	2.22E-05	"GO:0031072,GO:0051082,GO:0006457"	DNAJ homologue 2	"chaperone protein dnaJ, putative, expressed"
bradi1g06372.1|pacid:21817950	-1.743727835	60.37626688	0.431894703	-4.037391115	5.40E-05	0.000402117	"GO:0016020,GO:0005515"	syntaxin of plants 121	"syntaxin, putative, expressed"
bradi1g06450.1|pacid:21821541	-1.9881895	4126.546127	0.522479163	-3.805299121	0.000141633	0.000933718	GO:0005515	glutathione S-transferase TAU 19	"glutathione S-transferase, putative, expressed"
bradi1g06490.1|pacid:21817545	1.651505978	102.5279847	0.291396054	5.667564655	1.45E-08	2.40E-07		Mitochondrial transcription termination factor family protein	"mTERF domain containing protein, expressed"
bradi1g06670.1|pacid:21821152	1.673032437	394.2282729	0.196291589	8.523199832	1.55E-17	9.04E-16	"GO:0030528,GO:0006355"	phytochrome interacting factor 3-like 6	"phytochrome-interacting factor 4, putative, expressed"
bradi1g06997.1|pacid:21823615	1.962564321	4.181494601	0.506952475	3.87129843	0.000108257	0.000740908		Ubiquitin carboxyl-terminal hydrolase family protein	"ubiquitin carboxyl-terminal hydrolase, family 1, putative, expressed"
bradi1g07180.1|pacid:21819268	1.02371571	22.94830121	0.400518194	2.555978047	0.01058898	0.035033974	"GO:0004672,GO:0005524,GO:0006468,GO:0005515"	Leucine-rich receptor-like protein kinase family protein	"receptor protein kinase CLAVATA1 precursor, putative, expressed"
bradi1g07330.1|pacid:21817743	1.858164751	7.601388778	0.460232347	4.03744927	5.40E-05	0.000402117		Uncharacterised conserved protein UCP031279	expressed protein
bradi1g07410.1|pacid:21820572	-1.423433689	5.38130398	0.51418547	-2.76832733	0.005634483	0.020916576	"GO:0006904,GO:0016192"	Sec1/munc18-like (SM) proteins superfamily	"Sec1 family transport protein, putative, expressed"
bradi1g07430.1|pacid:21818525	-2.305831712	55.01142355	0.404594805	-5.699113486	1.20E-08	2.04E-07		Uncharacterised protein family (UPF0497)	"membrane associated DUF588 domain containing protein, putative, expressed"
bradi1g07440.1|pacid:21822107	-1.980520424	547.8624453	0.354364749	-5.588931835	2.28E-08	3.68E-07		cold-regulated 413-plasma membrane 2	"cold acclimation protein WCOR413, putative, expressed"
NA	-1.59551086	130.2931196	0.430967178	-3.70216328	0.000213769	0.001336513			
bradi1g07550.1|pacid:21817308	2.738519579	1985.504662	0.384310145	7.125806109	1.03E-12	3.34E-11		maternal effect embryo arrest 14	expressed protein
bradi1g07570.2|pacid:21822380	-1.863534804	680.3910479	0.211098383	-8.827802344	1.07E-18	7.24E-17		Peptidase S24/S26A/S26B/S26C family protein	"OsSigP2 - Putative Type I Signal Peptidase homologue; employs a putative Ser/Lys catalytic dyad, expressed"
bradi1g07650.1|pacid:21821685	-1.327594556	119.8365819	0.281384849	-4.718074061	2.38E-06	2.52E-05	"GO:0004672,GO:0005524,GO:0006468"	mitogen-activated protein kinase kinase kinase 5	"STE_MEKK_ste11_MAP3K.15 - STE kinases include homologs to sterile 7, sterile 11 and sterile 20 from yeast, expressed"
bradi1g07660.1|pacid:21821544	-2.350145142	273.8358267	0.352786692	-6.661660416	2.71E-11	7.05E-10		zinc-finger protein 2	"ZOS3-18 - C2H2 zinc finger protein, expressed"
bradi1g07870.1|pacid:21820539	-1.762850825	256.2081296	0.148803644	-11.84682562	2.23E-32	4.41E-30	GO:0003824	Protein phosphatase 2C family protein	"protein phosphatase 2C, putative, expressed"
bradi1g07890.1|pacid:21816834	-2.474605765	36.45664636	0.375437192	-6.591264308	4.36E-11	1.10E-09		Gibberellin-regulated family protein	"GASR3 - Gibberellin-regulated GASA/GAST/Snakin family protein precursor, expressed"
bradi1g07900.1|pacid:21822701	-3.08002623	2.519795067	0.575379874	-5.353030875	8.65E-08	1.24E-06		Gibberellin-regulated family protein	"GASR3 - Gibberellin-regulated GASA/GAST/Snakin family protein precursor, expressed"
bradi1g07930.1|pacid:21820491	-1.304825419	410.7027942	0.337152912	-3.870129469	0.000108778	0.000743567	"GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114"	"cytochrome P450, family 81, subfamily D, polypeptide 5"	"cytochrome P450, putative, expressed"
bradi1g08120.1|pacid:21816636	-2.744403988	1155.607422	0.183256047	-14.97578953	1.06E-50	5.96E-48	"GO:0016616,GO:0051287,GO:0055114"	UDP-glucose 6-dehydrogenase family protein	"UDP-glucose 6-dehydrogenase, putative, expressed"
bradi1g08130.2|pacid:21815858	-1.41011607	14.65653807	0.374637808	-3.763944905	0.000167254	0.001078456		COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family	"COBRA, putative, expressed"
bradi1g08140.1|pacid:21815650	1.803569953	1.249552135	0.590856439	3.052467288	0.002269685	0.009957554	"GO:0016758,GO:0008152"	UDP-Glycosyltransferase superfamily protein	"UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed"
bradi1g08150.1|pacid:21816903	-1.173123532	8.807249116	0.341365974	-3.436556721	0.000589159	0.003194731	"GO:0016758,GO:0008152"	UDP-Glycosyltransferase superfamily protein	"UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed"
bradi1g08190.1|pacid:21816498	1.49503092	377.3973677	0.184891016	8.086011716	6.17E-16	2.99E-14	"GO:0016758,GO:0008152"	UDP-Glycosyltransferase superfamily protein	"UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed"
bradi1g08210.1|pacid:21818872	1.040940256	27.61689953	0.291953279	3.565434376	0.000363254	0.002109417		dentin sialophosphoprotein-related	expressed protein
bradi1g08230.1|pacid:21816977	-2.454165745	2.726311423	0.579768073	-4.233012926	2.31E-05	0.00019003		plasmodesmata callose-binding protein 3	"X8 domain containing protein, expressed"
bradi1g08270.2|pacid:21818601	-1.408681006	29.82337513	0.243813484	-5.77769933	7.57E-09	1.33E-07	GO:0005515	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	"NLI interacting factor-like phosphatase, putative, expressed"
bradi1g08280.1|pacid:21815909	-1.612727238	102.2775552	0.428054694	-3.767572841	0.000164842	0.001065028	"GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021"	transporter associated with antigen processing protein 2	"ABC transporter, ATP-binding protein, putative, expressed"
bradi1g08357.1|pacid:21816019	2.98841225	59.34081305	0.449832792	6.64338461	3.07E-11	7.90E-10	"GO:0008234,GO:0006508"	senescence-associated gene 12	"cysteine protease 1 precursor, putative, expressed"
bradi1g08420.1|pacid:21818495	-1.19368119	67.72043951	0.239230225	-4.989675481	6.05E-07	7.29E-06	GO:0055085	oligopeptide transporter	"oligopeptide transporter, putative, expressed"
bradi1g08550.2|pacid:21821248	4.208260593	800.8640094	0.335072557	12.55925172	3.54E-36	8.62E-34	"GO:0004553,GO:0005975"	Glycosyl hydrolase family protein	"periplasmic beta-glucosidase precursor, putative, expressed"
bradi1g08570.2|pacid:21820590	-1.099445347	305.0965603	0.158447146	-6.938877563	3.95E-12	1.17E-10	"GO:0004553,GO:0005975"	Glycosyl hydrolase family protein	"periplasmic beta-glucosidase precursor, putative, expressed"
bradi1g08680.1|pacid:21819469	1.161508685	240.1973611	0.243665824	4.766809996	1.87E-06	2.04E-05		NDH-dependent cyclic electron flow 5	"aldose 1-epimerase, putative, expressed"
bradi1g08820.1|pacid:21815347	2.460780834	18.43056331	0.492033769	5.001243789	5.70E-07	6.91E-06		Protein of unknown function (DUF581)	expressed protein
bradi1g08830.1|pacid:21823427	1.012631255	44.61872253	0.245786938	4.119955537	3.79E-05	0.000293549	GO:0005515	Transducin/WD40 repeat-like superfamily protein	"WD domain, G-beta repeat domain containing protein, expressed"
bradi1g08970.1|pacid:21821556	1.134592164	9.766977787	0.355100233	3.195132131	0.001397668	0.006623572		Leucine-rich repeat protein kinase family protein	
bradi1g09010.1|pacid:21822683	-2.381831762	35.00886932	0.452873662	-5.259373562	1.45E-07	1.98E-06	"GO:0006511,GO:0007275,GO:0005634"	Protein with RING/U-box and TRAF-like domains	expressed protein
bradi1g09040.1|pacid:21820936	-2.646569994	93.87438747	0.377155145	-7.017191802	2.26E-12	6.92E-11		calmodulin 4	"OsCML4 - Calmodulin-related calcium sensor protein, expressed"
bradi1g09177.1|pacid:21821326	-1.058729242	299.1353945	0.294646445	-3.593219123	0.000326618	0.001923935	"GO:0030528,GO:0006355"	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	"helix-loop-helix DNA-binding domain containing protein, expressed"
bradi1g09187.1|pacid:21821611	1.149794072	16.84583037	0.328757026	3.497397714	0.000469821	0.002629238	"GO:0003677,GO:0006302,GO:0006310,GO:0005634"	homolog of human DNA ligase iv-binding protein XRCC4	"XRCC4, putative, expressed"
bradi1g09240.1|pacid:21821287	-3.077276514	70.70969345	0.462980146	-6.646670573	3.00E-11	7.74E-10		Uncharacterised protein family (UPF0114)	"uncharacterized UPF0114 domain containing protein, expressed"
bradi1g09400.1|pacid:21816437	1.33984465	1002.806728	0.23024484	5.819216836	5.91E-09	1.06E-07	GO:0005515	Cystathionine beta-synthase (CBS) family protein	"CBS domain containing membrane protein, putative, expressed"
bradi1g09520.1|pacid:21817788	1.526756113	2.862980459	0.553279231	2.759467603	0.005789563	0.021419754		Tetratricopeptide repeat (TPR)-like superfamily protein	"pentatricopeptide, putative, expressed"
bradi1g09600.1|pacid:21819860	1.645959158	1.034690468	0.589132157	2.793870844	0.005208127	0.019602979			"PIII4 - Proteinase inhibitor II family protein precursor, expressed"
bradi1g09780.1|pacid:21822129	-1.179678447	10.39165107	0.389819999	-3.026213251	0.002476376	0.010688543			expressed protein
bradi1g09800.1|pacid:21817560	-1.408278464	77.06292892	0.185548233	-7.589824158	3.20E-14	1.25E-12	"GO:0008375,GO:0016020"	"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"	"DNA binding protein, putative, expressed"
bradi1g09840.1|pacid:21815461	-1.345095701	23.33061806	0.341580889	-3.937854088	8.22E-05	0.000580999	"GO:0008374,GO:0006629,GO:0004607"	alpha/beta-Hydrolases superfamily protein	"lecithin cholesterol acyltransferase, putative, expressed"
bradi1g09847.1|pacid:21822421	1.218941323	60.14620135	0.257327706	4.736922198	2.17E-06	2.33E-05		BSD domain-containing protein	"BSD domain containing protein, expressed"
bradi1g09870.1|pacid:21818745	1.322948546	5.880716338	0.438879859	3.014375162	0.002575092	0.011051103	"GO:0008168,GO:0006364"	methyltransferases	"differentiation protein, putative, expressed"
bradi1g09990.1|pacid:21820277	1.080712944	27.51482562	0.310891822	3.476170379	0.000508629	0.0028145		Tetratricopeptide repeat (TPR)-like superfamily protein	"PPR repeat containing protein, expressed"
bradi1g10060.1|pacid:21817378	1.584849685	1.358221042	0.590232206	2.685129123	0.007250179	0.025732647		zinc ion binding	"fanconi anemia L, putative, expressed"
bradi1g10090.2|pacid:21817429	1.204161601	43.62244798	0.280757614	4.2889722	1.80E-05	0.000152716		golgi nucleotide sugar transporter 1	"DUF250 domain containing protein, putative, expressed"
bradi1g10140.2|pacid:21819629	3.097463493	809.3491577	0.226782427	13.6583047	1.80E-42	6.35E-40	"GO:0000287,GO:0005524,GO:0047325,GO:0032957,GO:0005622,GO:0052725,GO:0052726,GO:0035300"	"Inositol 1,3,4-trisphosphate 5/6-kinase family protein"	"Inositol 1, 3, 4-trisphosphate 5/6-kinase, putative, expressed"
bradi1g10150.1|pacid:21823132	1.087356391	1778.900316	0.2104327	5.167240594	2.38E-07	3.12E-06	"GO:0051258,GO:0043234,GO:0003924,GO:0005525,GO:0006184,GO:0007017,GO:0005874"	Tubulin/FtsZ family protein	"tubulin/FtsZ domain containing protein, putative, expressed"
bradi1g10170.1|pacid:21821486	-1.72102013	67.95416105	0.445095717	-3.866629279	0.00011035	0.000752362	"GO:0030528,GO:0006355"	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	"helix-loop-helix DNA-binding domain containing protein, expressed"
bradi1g10300.1|pacid:21819789	1.805388278	19.15812446	0.310788407	5.809059272	6.28E-09	1.12E-07		BTB/POZ domain-containing protein	expressed protein
bradi1g10330.1|pacid:21820578	-1.782339316	11.97125783	0.585762273	-3.042769053	0.002344122	0.010237167		GRAS family transcription factor	"GRAS family transcription factor domain containing protein, expressed"
